"Id","SalePrice"
1461,115000
1462,156500
1463,180500
1464,191000
1465,205000
1466,175000
1467,176000
1468,165000
1469,199000
1470,120000
1471,177500
1472,99000
1473,95500
1474,148000
1475,115500
1476,365500
1477,267000
1478,308000
1479,3e+05
1480,458000
1481,317000
1482,217000
1483,176500
1484,166500
1485,180500
1486,195000
1487,328500
1488,231000
1489,206000
1490,231500
1491,196500
1492,99000
1493,192000
1494,306000
1495,294500
1496,234500
1497,181000
1498,166000
1499,159500
1500,156000
1501,186000
1502,149500
1503,304500
1504,235000
1505,222000
1506,194500
1507,246000
1508,195500
1509,161000
1510,147000
1511,152500
1512,171000
1513,151000
1514,160500
1515,202500
1516,155000
1517,172500
1518,127000
1519,217500
1520,130000
1521,137000
1522,179000
1523,111500
1524,124500
1525,119000
1526,109500
1527,105500
1528,135500
1529,150500
1530,195000
1531,132500
1532,98000
1533,153000
1534,126500
1535,148500
1536,104500
1537,62000
1538,164000
1539,213000
1540,120500
1541,141500
1542,149000
1543,186500
1544,80000
1545,117500
1546,133500
1547,132000
1548,141000
1549,120000
1550,141500
1551,114000
1552,143500
1553,149000
1554,119000
1555,164000
1556,86500
1557,123000
1558,106500
1559,91500
1560,132000
1561,142000
1562,129500
1563,126000
1564,159000
1565,153500
1566,231500
1567,78500
1568,222500
1569,135500
1570,134000
1571,109500
1572,147500
1573,244000
1574,133500
1575,229000
1576,231000
1577,188000
1578,154500
1579,139000
1580,190500
1581,152500
1582,131500
1583,294000
1584,224500
1585,139000
1586,71500
1587,104500
1588,155500
1589,104500
1590,131000
1591,93000
1592,133000
1593,127500
1594,148000
1595,119500
1596,232500
1597,196000
1598,205500
1599,190500
1600,176000
1601,55000
1602,120000
1603,74000
1604,275500
1605,236500
1606,161000
1607,171000
1608,209000
1609,194000
1610,156500
1611,142000
1612,175000
1613,162500
1614,133000
1615,90500
1616,75000
1617,87500
1618,127500
1619,137500
1620,176500
1621,136000
1622,148000
1623,262000
1624,204500
1625,120500
1626,173500
1627,186000
1628,275000
1629,180000
1630,352500
1631,239000
1632,254000
1633,175500
1634,186000
