"Id","SalePrice"
1461,115200
1462,156400
1463,180400
1464,191200
1465,204900
1466,175000
1467,176200
1468,164900
1469,199200
1470,119800
1471,177600
1472,98900
1473,95700
1474,147900
1475,115400
1476,365600
1477,267200
1478,307900
1479,3e+05
1480,457800
1481,316900
1482,216900
1483,176600
1484,166600
1485,180500
1486,195200
1487,328400
1488,231000
1489,206100
1490,231500
1491,196500
1492,99100
1493,191800
1494,306100
1495,294700
1496,234300
1497,181200
1498,165800
1499,159400
1500,156000
1501,186200
1502,149700
1503,304300
1504,234900
1505,222000
1506,194700
1507,246100
1508,195700
1509,160800
1510,147100
1511,152700
1512,171000
1513,151000
1514,160500
1515,202500
1516,154800
1517,172400
1518,126800
1519,217500
1520,130000
1521,137000
1522,178900
1523,111700
1524,124600
1525,119000
1526,109700
1527,105500
1528,135400
1529,150500
1530,195200
1531,132300
1532,98200
1533,153100
1534,126600
1535,148300
1536,104400
1537,62000
1538,164200
1539,212900
1540,120600
1541,141700
1542,149100
1543,186700
1544,80200
1545,117300
1546,133700
1547,131900
1548,140900
1549,120000
1550,141600
1551,113900
1552,143300
1553,149000
1554,119100
1555,163800
1556,86600
1557,123000
1558,106700
1559,91700
1560,132000
1561,142200
1562,129700
1563,126100
1564,158900
1565,153500
1566,231700
1567,78700
1568,222500
1569,135700
1570,134000
1571,109500
1572,147400
1573,243800
1574,133400
1575,228900
1576,231000
1577,188100
1578,154300
1579,139000
1580,190300
1581,152500
1582,131400
1583,294200
1584,224500
1585,139000
1586,71700
1587,104700
1588,155300
1589,104500
1590,131100
1591,93100
1592,132900
1593,127600
1594,148000
1595,119300
1596,232400
1597,195800
1598,205600
1599,190400
1600,176100
1601,55100
1602,120200
1603,74000
1604,275700
1605,236400
1606,160900
1607,171200
1608,208800
1609,193800
1610,156600
1611,142000
1612,175200
1613,162400
1614,133100
1615,90300
1616,75200
1617,87700
1618,127500
1619,137700
1620,176400
1621,136000
1622,148100
1623,262100
1624,204700
1625,120300
1626,173600
1627,186100
1628,275100
1629,179900
1630,352600
1631,238900
1632,254100
1633,175500
1634,185800
1635,175500
1636,155200
1637,191500
1638,192700
1639,186000
1640,241100
1641,186500
1642,242200
1643,220700
1644,231700
1645,204100
1646,162400
1647,162700
1648,132800
1649,131600
1650,116200
1651,117700
1652,99100
1653,99700
1654,147400
1655,135700
1656,141800
1657,150300
1658,149000
1659,129800
1660,152600
1661,419900
1662,377200
1663,366800
1664,470800
1665,317700
1666,330200
1667,357100
1668,338600
1669,308900
1670,344200
1671,269100
1672,416300
1673,298900
1674,257300
1675,204400
1676,205800
1677,221300
1678,453100
1679,379300
1680,330700
1681,269100
1682,319000
1683,198600
1684,172300
1685,173400
1686,168200
1687,170500
1688,188300
1689,190700
1690,190200
1691,181100
1692,253400
1693,172400
1694,181700
1695,169200
1696,262100
1697,174800
1698,341600
1699,329700
1700,265500
1701,279400
1702,241300
1703,236800
1704,273700
1705,239300
1706,273200
1707,226300
1708,207900
1709,255500
1710,221100
1711,263300
1712,257900
1713,267500
1714,223400
1715,206100
1716,180400
1717,172700
1718,140800
1719,218100
1720,248100
1721,159300
1722,121000
1723,152500
1724,214300
1725,236900
1726,186700
1727,160100
1728,171900
1729,169300
1730,170000
1731,119200
1732,127500
1733,117400
1734,123200
1735,117900
1736,105100
1737,307000
1738,250800
1739,259200
1740,216500
1741,187500
1742,176200
1743,176700
1744,316100
1745,223500
1746,220500
1747,219000
1748,221400
1749,148500
1750,144400
1751,231800
1752,113700
1753,151600
1754,203800
1755,171000
1756,129700
1757,117000
1758,147600
1759,161600
1760,160500
1761,155400
1762,178700
1763,182800
1764,115700
1765,180800
1766,180500
1767,210200
1768,142200
1769,168900
1770,149700
1771,130900
1772,136200
1773,123200
1774,149300
1775,141600
1776,128000
1777,113400
1778,143900
1779,127300
1780,168000
1781,128400
1782,81100
1783,137900
1784,100300
1785,126500
1786,137100
1787,162000
1788,51100
1789,102700
1790,70100
1791,191300
1792,161000
1793,140500
1794,160300
1795,137400
1796,138500
1797,125500
1798,124700
1799,107100
1800,128700
1801,122300
1802,132000
1803,158600
1804,130400
1805,136600
1806,129500
1807,146100
1808,121500
1809,126900
1810,140200
1811,117700
1812,109600
1813,129300
1814,94100
1815,54800
1816,101100
1817,117400
1818,156500
1819,131200
1820,55400
1821,117000
1822,152900
1823,44100
1824,136700
1825,141200
1826,102900
1827,107100
1828,138500
1829,129400
1830,146600
1831,158900
1832,77900
1833,148300
1834,123400
1835,127800
1836,135100
1837,86600
1838,119700
1839,105300
1840,156300
1841,139300
1842,87500
1843,138800
1844,147900
1845,143400
1846,153900
1847,172000
1848,50900
1849,115200
1850,116900
1851,147700
1852,117800
1853,126300
1854,166100
1855,157900
1856,218100
1857,155700
1858,151400
1859,119500
1860,146700
1861,121800
1862,287400
1863,277800
1864,277800
1865,336000
1866,322700
1867,223600
1868,282600
1869,203500
1870,227500
1871,252900
1872,171600
1873,232800
1874,141800
1875,195600
1876,198500
1877,210100
1878,203400
1879,135200
1880,134000
1881,241600
1882,242200
1883,190200
1884,206400
1885,239000
1886,282300
1887,212900
1888,261200
1889,167400
1890,113100
1891,128800
1892,99900
1893,133800
1894,123000
1895,140400
1896,125600
1897,123800
1898,111300
1899,161300
1900,159700
1901,177600
1902,163200
1903,223300
1904,156500
1905,197300
1906,173000
1907,222700
1908,118800
1909,136000
1910,127000
1911,216900
1912,302000
1913,154000
1914,61800
1915,325600
1916,49500
1917,241000
1918,138200
1919,163500
1920,162900
1921,368100
1922,323000
1923,221900
1924,223400
1925,211700
1926,361700
1927,130800
1928,165000
1929,119800
1930,131200
1931,132800
1932,135000
1933,189000
1934,183300
1935,171100
1936,2e+05
1937,178600
1938,170700
1939,265300
1940,204400
1941,172100
1942,174500
1943,226100
1944,348400
1945,382800
1946,148100
1947,202400
1948,175400
1949,233400
1950,188100
1951,251400
1952,213800
1953,174300
1954,190800
1955,138000
1956,281200
1957,165300
1958,269300
1959,138900
1960,104500
1961,121300
1962,96600
1963,106800
1964,108000
1965,141100
1966,142300
1967,306000
1968,402100
1969,377600
1970,403700
1971,425200
1972,362200
1973,287000
1974,328500
1975,410000
1976,286100
1977,362900
1978,350100
1979,326400
1980,205000
1981,343900
1982,229500
1983,217400
1984,183600
1985,226000
1986,210500
1987,202000
1988,172900
1989,190800
1990,212800
1991,234100
1992,222200
1993,169800
1994,235800
1995,183400
1996,278900
1997,317000
1998,330500
1999,287600
2000,314400
2001,285100
2002,242300
2003,248100
2004,275700
2005,227000
2006,225100
2007,245800
2008,227100
2009,199900
2010,194400
2011,137700
2012,178900
2013,179700
2014,187500
2015,210500
2016,193700
2017,199200
2018,115300
2019,131300
2020,94500
2021,104600
2022,197300
2023,144500
2024,275400
2025,355400
2026,174800
2027,155100
2028,159400
2029,173100
2030,264000
2031,232600
2032,251000
2033,253500
2034,173900
2035,226200
2036,197300
2037,206200
2038,298800
2039,224400
2040,326600
2041,280900
2042,208300
2043,175800
2044,180300
2045,207100
2046,147200
2047,141800
2048,139100
2049,138400
2050,171000
2051,105500
2052,127000
2053,142700
2054,85600
2055,164500
2056,136100
2057,109600
2058,208900
2059,132400
2060,167700
2061,171900
2062,129000
2063,111300
2064,136700
2065,107500
2066,172700
2067,128000
2068,146600
2069,85200
2070,111500
2071,98400
2072,143100
2073,128900
2074,181400
2075,163600
2076,122100
2077,152500
2078,128600
2079,132000
2080,118300
2081,127900
2082,135300
2083,150600
2084,106200
2085,119500
2086,121900
2087,122000
2088,106600
2089,81200
2090,126400
2091,104300
2092,126700
2093,141500
2094,121000
2095,151900
2096,84900
2097,99500
2098,153300
2099,43200
2100,81000
2101,119100
2102,130600
2103,101100
2104,134600
2105,134100
2106,63700
2107,197600
2108,119900
2109,111100
2110,127900
2111,151600
2112,142200
2113,118300
2114,117700
2115,158400
2116,117900
2117,150400
2118,124800
2119,115500
2120,109000
2121,107000
2122,108000
2123,92900
2124,173800
2125,130500
2126,155100
2127,164600
2128,135100
2129,85000
2130,139400
2131,142800
2132,117800
2133,125200
2134,122400
2135,99800
2136,68600
2137,115100
2138,129100
2139,147700
2140,138800
2141,161700
2142,132100
2143,148800
2144,122800
2145,136500
2146,173800
2147,154000
2148,131300
2149,138000
2150,229100
2151,126300
2152,175400
2153,170700
2154,105500
2155,138200
2156,251800
2157,230900
2158,236800
2159,214100
2160,184100
2161,235700
2162,371300
2163,332800
2164,250500
2165,200700
2166,151300
2167,219800
2168,196400
2169,195700
2170,215800
2171,151900
2172,139300
2173,175200
2174,224500
2175,279400
2176,305500
2177,243400
2178,214600
2179,138800
2180,224800
2181,195300
2182,221400
2183,192400
2184,126900
2185,123600
2186,152000
2187,150200
2188,156200
2189,265300
2190,84900
2191,76300
2192,79100
2193,114400
2194,102900
2195,103000
2196,105900
2197,114400
2198,159900
2199,171000
2200,155400
2201,155000
2202,200600
2203,157200
2204,186500
2205,131700
2206,152800
2207,223700
2208,250000
2209,239100
2210,128700
2211,120600
2212,122900
2213,102800
2214,140400
2215,101300
2216,157700
2217,87400
2218,96200
2219,84800
2220,57800
2221,326000
2222,279600
2223,268400
2224,206700
2225,135400
2226,181400
2227,196900
2228,276300
2229,246100
2230,157100
2231,218300
2232,182400
2233,183600
2234,242900
2235,223700
2236,257100
2237,313700
2238,204700
2239,116100
2240,156500
2241,143500
2242,129400
2243,128100
2244,99500
2245,108600
2246,140600
2247,121500
2248,125000
2249,120500
2250,129400
2251,116500
2252,184900
2253,158800
2254,179600
2255,190100
2256,176400
2257,212200
2258,160700
2259,178500
2260,152900
2261,219100
2262,236200
2263,356500
2264,437100
2265,164900
2266,303800
2267,372900
2268,418200
2269,158100
2270,184200
2271,216500
2272,196300
2273,159000
2274,180200
2275,166600
2276,192800
2277,187700
2278,150400
2279,125900
2280,109900
2281,157800
2282,171500
2283,108100
2284,116700
2285,146000
2286,125600
2287,366800
2288,294100
2289,360200
2290,425200
2291,339500
2292,402600
2293,446700
2294,385000
2295,445700
2296,285700
2297,350700
2298,346900
2299,359300
2300,327800
2301,315100
2302,261000
2303,256400
2304,265200
2305,209900
2306,201500
2307,206200
2308,229500
2309,290100
2310,228500
2311,213400
2312,181900
2313,170000
2314,183100
2315,181800
2316,204900
2317,189400
2318,184500
2319,187100
2320,186900
2321,242700
2322,191400
2323,193800
2324,177000
2325,215600
2326,171900
2327,205200
2328,220400
2329,187300
2330,178900
2331,343500
2332,381200
2333,318700
2334,275100
2335,286200
2336,322000
2337,205100
2338,262400
2339,227000
2340,372900
2341,216300
2342,234700
2343,224500
2344,225700
2345,231500
2346,218800
2347,206500
2348,243900
2349,190800
2350,296000
2351,272100
2352,245500
2353,252000
2354,149500
2355,151300
2356,149600
2357,194500
2358,194600
2359,129400
2360,115100
2361,145700
2362,259100
2363,144400
2364,161500
2365,211600
2366,195700
2367,224300
2368,214500
2369,219300
2370,171800
2371,168200
2372,196500
2373,276600
2374,295500
2375,241400
2376,280000
2377,332500
2378,147600
2379,217100
2380,146900
2381,168000
2382,198300
2383,197600
2384,233100
2385,159400
2386,139200
2387,130500
2388,106800
2389,119400
2390,149000
2391,140600
2392,118000
2393,171300
2394,148500
2395,201000
2396,143200
2397,203300
2398,128100
2399,68300
2400,60900
2401,125500
2402,135100
2403,141100
2404,150100
2405,159400
2406,138100
2407,130800
2408,134800
2409,121700
2410,177600
2411,115800
2412,155000
2413,129200
2414,151800
2415,134100
2416,130500
2417,134800
2418,130500
2419,129700
2420,124600
2421,225400
2422,105000
2423,120500
2424,143300
2425,212300
2426,131500
2427,131200
2428,183600
2429,108300
2430,134100
2431,109800
2432,146200
2433,148500
2434,144300
2435,162400
2436,110900
2437,102500
2438,118100
2439,104100
2440,127500
2441,104100
2442,99900
2443,130600
2444,127400
2445,85700
2446,129900
2447,193700
2448,138700
2449,111900
2450,154000
2451,123400
2452,202100
2453,95900
2454,117100
2455,114700
2456,143700
2457,132700
2458,130900
2459,111600
2460,141000
2461,124400
2462,129700
2463,123700
2464,173600
2465,138600
2466,116000
2467,133300
2468,91700
2469,92100
2470,198300
2471,204600
2472,174700
2473,118900
2474,88600
2475,212000
2476,112400
2477,115000
2478,153200
2479,106800
2480,155900
2481,127200
2482,112600
2483,110000
2484,126000
2485,122500
2486,157400
2487,182500
2488,158100
2489,154900
2490,145100
2491,97300
2492,182800
2493,148300
2494,148400
2495,83900
2496,221300
2497,154300
2498,112500
2499,91200
2500,123200
2501,136600
2502,148500
2503,105900
2504,287400
2505,220600
2506,252900
2507,286500
2508,252000
2509,216100
2510,216000
2511,178600
2512,215200
2513,216300
2514,291700
2515,153200
2516,168900
2517,143400
2518,142100
2519,237900
2520,218400
2521,188900
2522,219400
2523,122800
2524,136800
2525,145600
2526,150100
2527,120700
2528,135600
2529,104600
2530,123600
2531,253800
2532,221800
2533,198600
2534,241300
2535,278700
2536,226200
2537,243100
2538,188500
2539,188300
2540,184700
2541,178300
2542,165000
2543,122300
2544,119800
2545,132500
2546,132600
2547,142800
2548,163600
2549,155200
2550,554500
2551,142100
2552,133100
2553,80000
2554,96100
2555,112500
2556,94100
2557,107500
2558,171400
2559,154800
2560,159100
2561,154500
2562,157100
2563,161900
2564,191100
2565,155300
2566,170100
2567,139600
2568,212500
2569,215700
2570,123900
2571,193400
2572,173800
2573,227800
2574,248500
2575,133800
2576,150500
2577,156600
2578,80200
2579,52800
2580,112700
2581,127200
2582,125200
2583,288700
2584,173100
2585,185400
2586,213000
2587,201200
2588,142800
2589,147000
2590,208300
2591,225400
2592,221900
2593,256500
2594,178800
2595,210800
2596,300500
2597,193900
2598,275300
2599,345300
2600,286000
2601,133300
2602,78800
2603,91400
2604,87200
2605,76200
2606,140100
2607,198800
2608,186700
2609,155800
2610,109200
2611,173700
2612,154100
2613,123400
2614,118200
2615,155000
2616,147300
2617,190700
2618,200600
2619,206400
2620,188700
2621,178600
2622,183600
2623,238000
2624,281300
2625,306000
2626,171000
2627,186400
2628,437600
2629,484800
2630,368900
2631,444100
2632,400700
2633,311400
2634,396400
2635,151700
2636,180500
2637,189000
2638,259700
2639,187500
2640,156100
2641,102000
2642,177400
2643,109700
2644,119000
2645,105700
2646,94500
2647,103600
2648,141900
2649,147300
2650,138800
2651,138300
2652,394600
2653,264300
2654,276700
2655,385300
2656,330200
2657,344000
2658,314200
2659,322200
2660,348000
2661,358000
2662,365300
2663,287200
2664,284200
2665,330500
2666,293700
2667,177800
