"Id","SalePrice"
1461,119754.988904964
1462,155338.043907438
1463,183837.250485995
1464,191014.728846126
1465,200389.596793219
1466,176959.758313234
1467,174408.900658736
1468,166358.231393409
1469,194073.993302619
1470,122514.026736668
1471,172218.391506955
1472,97360.7283014421
1473,96771.9692737369
1474,149075.249144345
1475,119149.075768219
1476,377297.268295567
1477,262748.106421154
1478,309501.337057722
1479,296191.830819002
1480,477242.740466875
1481,311947.833439546
1482,207342.668103065
1483,179389.643265434
1484,166901.898400804
1485,176651.822924527
1486,193695.934533585
1487,332025.52779344
1488,227323.685604119
1489,208051.155391809
1490,237093.225100491
1491,196333.369868385
1492,104850.96243985
1493,178779.856067179
1494,306293.551235797
1495,291922.429866201
1496,237149.565263704
1497,183948.43106988
1498,165444.300738294
1499,158008.509445137
1500,156617.072124456
1501,185953.510250407
1502,148337.808932931
1503,320142.72630374
1504,234187.338150088
1505,223096.897608043
1506,191904.037375741
1507,248673.354980875
1508,196034.510419824
1509,160504.627568782
1510,147745.954352437
1511,156967.257759809
1512,169978.863539892
1513,148005.929447765
1514,160536.352428963
1515,197082.743334269
1516,153359.586253156
1517,167060.349451165
1518,128350.172761815
1519,216350.768636364
1520,129877.475754502
1521,140305.639750327
1522,174909.286752247
1523,116594.432136765
1524,125182.753821533
1525,121919.198942668
1526,116766.470482846
1527,107267.026037035
1528,130898.987403106
1529,153062.805351145
1530,188131.397756193
1531,131441.575524784
1532,99776.0033287571
1533,153860.388922052
1534,121686.15753257
1535,149922.263399506
1536,106173.386465802
1537,67566.1154024928
1538,158142.425027474
1539,210427.134532457
1540,118321.617649071
1541,141567.889278159
1542,155782.639105095
1543,186799.341031039
1544,83174.2728716471
1545,113965.616787159
1546,131696.97360394
1547,136797.961277641
1548,141536.042535832
1549,120485.051019378
1550,143862.494177308
1551,111443.5250624
1552,146190.372869649
1553,148458.546625599
1554,115286.281610446
1555,169744.465328281
1556,89466.3545714316
1557,135022.491349207
1558,105931.203188661
1559,92732.2782381277
1560,133541.461910738
1561,147226.761219035
1562,129765.840975607
1563,127952.433886804
1564,160584.837792169
1565,157542.103058686
1566,227747.779572174
1567,82507.485578736
1568,222511.215141568
1569,140936.54878148
1570,129438.042333406
1571,104175.451766361
1572,147804.779440452
1573,243810.205219968
1574,129709.067795162
1575,225094.685773352
1576,227582.321327301
1577,191279.985799699
1578,154624.204474456
1579,138527.023862614
1580,190635.357401273
1581,150203.491717584
1582,131835.565988722
1583,299020.037429373
1584,228305.839641358
1585,137075.997439145
1586,81299.8842375174
1587,104086.72267025
1588,149841.103345023
1589,102519.61111354
1590,126961.752148146
1591,98115.9421104032
1592,130754.476749549
1593,126835.776091238
1594,146185.408954087
1595,124327.553013537
1596,232705.915186626
1597,196823.994632122
1598,202823.165879167
1599,189498.842764434
1600,177225.356005816
1601,64001.9648543898
1602,119909.084700777
1603,67926.8235818378
1604,277576.442617413
1605,234432.962113723
1606,158694.045816508
1607,167839.219076131
1608,208724.269261552
1609,193956.876000883
1610,160776.556144313
1611,139770.624995202
1612,179109.109631267
1613,163720.639703967
1614,129158.324299102
1615,92192.7545315961
1616,78279.1888824597
1617,87359.4142823059
1618,131424.98701046
1619,138065.431548212
1620,176088.927943089
1621,136639.044529856
1622,149705.907589124
1623,259412.748982637
1624,201960.216806537
1625,120930.249206033
